Company Name,Country Founded,Year Founded,Revenue 2018,Revenue 2019,Revenue 2020,Net Income 2018,Net Income 2019,Net Income 2020,Industry,Number of Employees,Founder
Amazon,United States,1994,232900000000.0,280500000000.0,386100000000.0,21300000000.0,21300000000.0,21300000000.0,Retail,800000,Jeff Bezos
Apple,United States,1976,265600000000.0,260200000000.0,274500000000.0,59500000000.0,55200000000.0,111400000000.0,Technology,137000,Steve Jobs
Google,United States,1998,136800000000.0,161900000000.0,182300000000.0,30700000000.0,34300000000.0,46200000000.0,Technology,118899,Larry Page
Microsoft,United States,1975,110400000000.0,130900000000.0,143000000000.0,16600000000.0,44300000000.0,53000000000.0,Technology,151000,Bill Gates
Alibaba,China,1999,39900000000.0,56100000000.0,70200000000.0,12900000000.0,14900000000.0,11900000000.0,Retail,104000,Jack Ma
Facebook,United States,2004,55800000000.0,70700000000.0,84200000000.0,22100000000.0,18500000000.0,25900000000.0,Technology,52534,Mark Zuckerberg
Berkshire Hathaway,United States,1839,242100000000.0,254200000000.0,245500000000.0,24100000000.0,29100000000.0,29900000000.0,Investment,367700,Warren Buffet
JP Morgan Chase,United States,2000,110200000000.0,106600000000.0,111500000000.0,32000000000.0,36400000000.0,31200000000.0,Banking,256981,John Pierpont Morgan
Exxon Mobil,United States,1870,290200000000.0,265600000000.0,221900000000.0,20800000000.0,14300000000.0,3100000000.0,Oil,71000,John D. Rockefeller
Johnson & Johnson,United States,1886,81600000000.0,82100000000.0,82000000000.0,16300000000.0,15500000000.0,16400000000.0,Healthcare,128100,Robert Wood Johnson
Nestle,Switzerland,1866,89500000000.0,92200000000.0,92700000000.0,11000000000.0,11300000000.0,11300000000.0,Food,291000,Henri Nestle
Procter & Gamble,United States,1890,65700000000.0,67800000000.0,70700000000.0,8800000000.0,9000000000.0,9100000000.0,Consumer goods,95000,"William Procter, James Gamble"
Toyota,Japan,1937,275600000000.0,265200000000.0,274300000000.0,17700000000.0,16500000000.0,19500000000.0,Automotive,366000,Kiichiro Toyoda
General Electric,United States,1892,121600000000.0,121200000000.0,115200000000.0,4200000000.0,4400000000.0,4700000000.0,Conglomerate,300000,Thomas Edison
Chevron,United States,1879,134600000000.0,134300000000.0,121500000000.0,14800000000.0,11900000000.0,5600000000.0,Oil,62000,Marcus Samuel
Coca-Cola,United States,1886,31900000000.0,32200000000.0,37200000000.0,7200000000.0,7600000000.0,10200000000.0,Beverages,62600,John Pemberton
McDonald's,United States,1940,21000000000.0,21800000000.0,22200000000.0,5900000000.0,6100000000.0,6300000000.0,Fast food,210000,Dick and Mac McDonald
Wal-Mart,United States,1962,500300000000.0,514400000000.0,524400000000.0,9900000000.0,10400000000.0,13600000000.0,Retail,2300000,Sam Walton
IBM,United States,1911,79100000000.0,77100000000.0,73600000000.0,8200000000.0,8700000000.0,11600000000.0,Technology,352600,Thomas J. Watson
PepsiCo,United States,1898,64700000000.0,67100000000.0,67300000000.0,6500000000.0,7200000000.0,7600000000.0,Beverages,267000,Caleb Bradham
Unilever,Netherlands,1930,51300000000.0,51200000000.0,50700000000.0,5100000000.0,5400000000.0,5700000000.0,Consumer goods,169000,William Lever
Unilever,Netherlands,1930,51300000000.0,51200000000.0,50700000000.0,5100000000.0,5400000000.0,5700000000.0,Consumer goods,169000,"William Lever, James Darcy Lever"
Anheuser-Busch InBev,Belgium,1366,54600000000.0,54600000000.0,52300000000.0,9700000000.0,10200000000.0,9100000000.0,Beverages,200000,Adolphe Jackie
Royal Dutch Shell,Netherlands,1907,388400000000.0,388600000000.0,353700000000.0,23900000000.0,21300000000.0,11300000000.0,Oil,84000,Marcus Samuel
